报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20210331,203633728.9,203633728.9,,,,,,192295833.9,107495565.93,,,,,,,,,1933253.44,25782723.9,6038515.38,44529878.31,6515896.94,7188718.06,,1177816.95,,,,,,,,,18863499.06,,-6895100.64,,-6539.48,24477570.89,347362.47,,191546.84,,24633386.52,6354512.91,,18278873.61,18278873.61,,20391366.04,,-2112492.43,,,,,,,,,,,,,,,,,,,,18278873.61,20391366.04,-2112492.43,0.02,0.02,定期报告,未审计,20220428,CNY,合并期末,2021-04-27T21:02:04
20201231,1215560376.69,1215560376.69,,,,,,1080880541.01,665612234.96,,,,,,,,,9349021.34,154069206.7,27348538.38,189146649.5,35354890.13,31054426.35,,60049828.22,5079136.38,,,,-21452.05,,,,42791546.3,-2077002.0,-26839345.57,,51213205.48,259796616.06,1483246.31,,24318241.37,,236961621.0,55421010.25,,181540610.75,181540610.75,,172355303.21,,9185307.54,56735419.11,58304276.61,58304276.61,,,58304276.61,,,,,,,,,,,,,-1568857.5,238276029.86,230659579.82,7616450.04,0.16,0.16,定期报告,是,20220415,CNY,合并期末,2021-04-19T21:02:03
20200930,748665817.32,748665817.32,,,,,,668579650.74,402043647.16,,,,,,,,,6006098.39,86994905.06,21010359.43,132490910.57,20033730.13,,,-22135419.81,,,,,-21452.05,,,,16622346.64,-1493199.16,-10414383.09,,70329749.7,132973808.81,1624215.81,,2582772.42,,132015252.2,23870747.69,,108144504.51,108144504.51,,102078863.78,,6065640.73,,,,,,,,,,,,,,,,,,,,108144504.51,102078863.78,6065640.73,0.09,0.09,定期报告,未审计,20211028,CNY,合并期末,2020-10-27T19:17:03
20200630,456629040.65,456629040.65,,,,,,382778657.59,240634659.0,,,,,,,,,3171682.67,38810955.67,12236764.0,77439522.59,10485073.66,,,515534.21,,,,,-21452.05,,,,12968165.1,-1493199.16,-1671396.87,,,84148034.29,377083.43,,668469.3,,83856648.42,21214818.46,,62641829.96,62641829.96,,58414948.98,,4226880.98,,,,,,,,,,,,,,,,,,,,62641829.96,58414948.98,4226880.98,0.05,0.05,定期报告,未审计,20210826,CNY,合并期末,2021-08-25T19:42:03
20200331,133108957.74,133108957.74,,,,,,114035246.56,63317825.03,,,,,,,,,619817.77,11299192.77,3771761.75,31842436.28,3184212.96,2880235.3,,693386.96,,,,,-21452.05,,,,3578291.28,,762509.98,,,24086447.35,25644.56,,10000.0,,24102091.91,5606053.81,,18496038.1,18496038.1,,17596030.71,,900007.39,,,,,,,,,,,,,,,,,,,,18496038.1,17596030.71,900007.39,0.02,0.02,定期报告,未审计,20210428,CNY,合并期末,2020-04-30T02:17:04
20191231,1124767019.03,1124767019.03,,,,,,957888861.67,628807007.43,,,,,,,,,5470320.76,121941412.19,26967654.26,160715165.67,13987301.36,14972672.84,,18658258.37,1333870.1,,,,21452.05,,,,20304958.38,-967812.54,-21592270.75,,7610116.03,190912858.9,521155.04,,638608.52,,190795405.42,39084988.46,,151710416.96,151710416.96,,136538930.28,,15171486.68,5048070.52,5048070.52,5048070.52,,,5048070.52,,,,,,,,,,,,,,156758487.48,141587000.8,15171486.68,0.13,0.13,定期报告,是,20210420,CNY,合并期末,2020-04-30T02:17:04
20190930,695276153.84,695276153.84,,,,,,567970301.69,366149967.4,,,,,,,,,2213543.03,48913690.58,19267303.45,121535794.73,9890002.5,16924122.95,,1019829.01,,,,,,,,,11726505.09,-15935830.43,,,,124116355.82,1422498.34,,586731.31,,124952122.85,25668323.3,,99283799.55,99283799.55,,88872833.52,,10410966.03,,,,,,,,,,,,,,,,,,,,99283799.55,88872833.52,10410966.03,0.08,0.08,定期报告,未审计,20201028,CNY,合并期末,2020-03-13T16:00:40
20190630,468869949.26,468869949.26,,,,,,373248915.44,241141758.91,,,,,,,,,1884568.56,24200415.62,14610956.11,83963908.8,7447307.44,,,2139015.62,,,,,,,,,7093695.59,-11232882.02,,,1913.62,93622776.63,1391326.72,,565097.67,,94449005.68,18652312.37,,75796693.31,75796693.31,,69035200.48,,6761492.83,31866823.77,31866823.77,,,,,,31866823.77,,31866823.77,,,,,,,,,,107663517.08,100902024.25,6761492.83,0.06,0.06,定期报告,未审计,20200820,CNY,合并期末,2020-03-13T16:00:40
20190331,173442486.09,173442486.09,,,,,,153558860.57,93460034.72,,,,,,,,,829701.06,10117179.22,4471044.78,45763739.26,-1082838.47,5843041.95,,293965.76,,,,,,,,,,234593.61,,,,20412184.89,3436071.12,,9348.86,,23838907.15,6176308.8,,17662598.35,17662598.35,,15341231.52,,2321366.83,,,,,,,,,,,,,,,,,,,,17662598.35,15341231.52,2321366.83,0.01,0.01,定期报告,未审计,20200430,CNY,合并期末,2020-03-13T16:00:40
20181231,994005467.25,994005467.25,,,,,,839781377.46,558657901.54,,,,,,,,,5962848.26,91908837.96,24753957.93,158801178.78,-303347.01,8029891.67,,15365241.66,84744.82,,,,,,,,15745155.64,-14863683.43,,,-230490.45,170240313.21,1968961.0,,772215.81,,171437058.4,22965143.29,,148471915.11,148471915.11,,136277594.0,,12194321.11,,,,,,,,,,,,,,,,,,,,148471915.11,136277594.0,12194321.11,0.12,0.12,定期报告,是,20200430,CNY,合并期末,2020-03-13T16:00:40
20180930,634145324.56,634145324.56,,,,,,484759201.73,331855148.88,,,,,,,,,3213540.95,40492052.05,16658779.76,106108024.45,-13568344.36,10534457.89,,,,,,,,,,,,-21287996.56,,,,128098126.27,4895443.32,,313128.69,,132680440.9,20793691.89,,111886749.01,111886749.01,,106301951.18,,5584797.83,,,,,,,,,,,,,,,,,,,,111886749.01,106301951.18,5584797.83,0.09,0.09,定期报告,未审计,20191030,CNY,合并期末,2020-03-13T16:00:40
20180630,393280945.65,393280945.65,,,,,,303782573.78,198318855.67,,,,,,,,,2241607.15,21761977.73,11473556.27,78250158.17,-8263581.21,,,,,,,,,,,,,-3655101.7,,,,85843270.17,937348.67,,151138.04,,86629480.8,15240766.39,,71388714.41,71388714.41,,67944268.85,,3444445.56,,,,,,,,,,,,,,,,,,,,71388714.41,67944268.85,3444445.56,0.06,0.06,定期报告,未审计,20190830,CNY,合并期末,2020-03-13T16:00:40
20180331,127908800.96,127908800.96,,,,,,90576754.84,53950778.6,,,,,,,,,524951.06,11236598.13,3443642.0,21331984.97,290667.36,,,430092.05,,,,,,,,,300000.0,,,,,37762138.17,308902.73,,23.34,,38071017.56,6730860.03,,31340157.53,31340157.53,,27758625.81,,3581531.72,,,,,,,,,,,,,,,,,,,,31340157.53,27758625.81,3581531.72,0.03,0.03,定期报告,未审计,20190429,CNY,合并期末,2020-03-13T16:00:40
20171231,767180576.4,767180576.4,,,,,,619941140.53,404658462.26,,,,,,,,,6010342.4,49251944.59,21116126.37,123919478.73,-305119.46,,,991441.19,,,,,,,,,7727015.11,,,,,155957892.17,3703341.02,,157098.95,,159504134.24,27303335.44,,132200798.8,132200798.8,,122562582.97,,9638215.83,,,,,,,,,,,,,,,,,,,,132200798.8,122562582.97,9638215.83,0.11,0.11,定期报告,是,20190423,CNY,合并期末,2020-03-13T16:00:40
20170930,452052952.79,452052952.79,,,,,,363170559.93,224541037.16,,,,,,,,,2613227.22,,14843640.4,115365247.32,-2961978.28,960580.49,,,,,,,,,,,,,,,,88882392.86,6053332.26,,24459.67,,94911265.45,16605835.4,,78305430.05,78305430.05,,76077790.29,,2227639.76,,,,,,,,,,,,,,,,,,,,78305430.05,76077790.29,2227639.76,0.07,0.07,定期报告,未审计,20181030,CNY,合并期末,2020-03-13T16:00:40
20170630,295350420.47,295350420.47,,,,,,239206233.43,145719809.73,,,,,,,,,1941914.44,,10029004.3,77003659.5,-2928186.06,,,,,,,,,,,,,,,,,56144187.04,3958600.64,,13083.48,,60089704.2,9108213.21,,50981490.99,50981490.99,,50464306.5,,517184.49,,,,,,,,,,,,,,,,,,,,50981490.99,50464306.5,517184.49,0.05,0.05,定期报告,未审计,20180725,CNY,合并期末,2020-03-13T16:00:40
20170331,117898838.99,117898838.99,,,,,,87334244.11,53129990.54,,,,,,,,,677759.58,,3459291.43,30549223.27,-1993159.39,,,,,,,,,,,,,,,,,30564594.88,2914152.86,,,,33478747.74,4798787.54,,28679960.2,28679960.2,,26794032.94,,1885927.26,,,,,,,,,,,,,,,,,,,,28679960.2,26794032.94,1885927.26,0.02,0.02,定期报告,未审计,20180428,CNY,合并期末,2020-03-13T16:00:40
20161231,530528699.72,530528699.72,,,,,,405241297.23,259139737.07,,,,,,,,,5077605.06,,13818840.36,116307720.27,-5546146.06,,,,,,,,,,,,,,,,,125287402.49,4871532.61,59409.36,791783.29,39659.27,129367151.81,20065727.92,,109301423.89,109301423.89,,105312808.27,,3988615.62,,,,,,,,,,,,,,,,,,,,109301423.89,105312808.27,3988615.62,0.1,0.1,定期报告,是,20180424,CNY,合并期末,2020-03-13T16:00:40
20160930,295911912.31,295911912.31,,,,,,218414979.69,138670859.54,,,,,,,,,1232790.2,,8208557.64,63480412.31,-2942994.73,,,,,,,,,,,,,,,,,77496932.62,3015386.71,,401416.69,,80110902.64,12057692.19,,68053210.45,,,64216246.93,,3836963.52,,,,,,,,,,,,,,,,,,,,68053210.45,64216246.93,3836963.52,0.06,0.06,定期报告,未审计,20171031,CNY,合并期末,2020-03-13T16:00:40
20160630,168360180.49,168360180.49,,,,,,115541302.58,77788125.45,,,,,,,,,509178.06,,4562807.44,29938847.77,-2526397.43,,,,,,,,,,,,,,,,,52818877.91,1263211.67,,153965.99,,53928123.59,7356781.55,,46571342.04,,,43607399.61,,2963942.43,,,,,,,,,,,,,,,,,,,,46571342.04,43607399.61,2963942.43,0.04,0.04,定期报告,未审计,20170823,CNY,合并期末,2020-03-13T16:00:40
20160331,75467237.23,75467237.23,,,,,,47469325.57,35690469.6,,,,,,,,,303086.77,,1269960.17,10946306.61,-1542194.27,,,,,,,,,,,,,,,,,27997911.66,804796.12,,,,28802707.78,4884322.14,,23918385.64,,,21922754.22,,1995631.42,,,,,,,,,,,,,,,,,,,,23918385.64,21922754.22,1995631.42,0.07,0.07,定期报告,未审计,20170429,CNY,合并期末,2020-03-13T16:00:40
