报告期,候选股票,选中数量,平均评分,平均ROE(%),平均F-Score,选股,评分明细
2011-06-30,17,5,16.8,28.1,7.0,"贵州茅台,五粮液,海螺水泥,中国平安,洋河股份",贵州茅台(18)|五粮液(18)|海螺水泥(18)|中国平安(16)|洋河股份(14)
2011-09-30,18,5,18.4,27.0,8.0,"贵州茅台,五粮液,海尔智家,招商银行,中国石化",贵州茅台(20)|五粮液(18)|海尔智家(18)|招商银行(18)|中国石化(18)
2011-12-31,17,5,17.2,31.5,6.8,"贵州茅台,美的集团,招商银行,五粮液,泸州老窖",贵州茅台(20)|美的集团(20)|招商银行(18)|五粮液(14)|泸州老窖(14)
2012-03-31,17,5,19.6,34.3,8.4,"五粮液,洋河股份,格力电器,海尔智家,贵州茅台",五粮液(20)|洋河股份(20)|格力电器(20)|海尔智家(20)|贵州茅台(18)
2012-06-30,17,5,16.4,35.5,6.8,"山西汾酒,海尔智家,洋河股份,格力电器,贵州茅台",山西汾酒(18)|海尔智家(18)|洋河股份(16)|格力电器(16)|贵州茅台(14)
2012-09-30,18,5,18.4,35.2,7.8,"五粮液,泸州老窖,山西汾酒,美的集团,招商银行",五粮液(20)|泸州老窖(18)|山西汾酒(18)|美的集团(18)|招商银行(18)
2012-12-31,16,5,16.0,37.1,6.0,"美的集团,格力电器,贵州茅台,泸州老窖,洋河股份",美的集团(20)|格力电器(18)|贵州茅台(14)|泸州老窖(14)|洋河股份(14)
2013-03-31,17,5,16.0,32.3,6.6,"山西汾酒,美的集团,格力电器,贵州茅台,五粮液",山西汾酒(18)|美的集团(18)|格力电器(16)|贵州茅台(14)|五粮液(14)
2013-06-30,15,5,16.4,27.3,6.8,"格力电器,海尔智家,美的集团,海螺水泥,贵州茅台",格力电器(18)|海尔智家(18)|美的集团(16)|海螺水泥(16)|贵州茅台(14)
2013-09-30,17,5,17.6,25.6,7.6,"美的集团,海康威视,兴业银行,海螺水泥,泸州老窖",美的集团(18)|海康威视(18)|兴业银行(18)|海螺水泥(18)|泸州老窖(16)
2013-12-31,14,5,17.2,23.5,7.4,"格力电器,海尔智家,海螺水泥,美的集团,兴业银行",格力电器(18)|海尔智家(18)|海螺水泥(18)|美的集团(16)|兴业银行(16)
2014-03-31,16,5,16.8,25.5,7.2,"格力电器,兴业银行,海螺水泥,美的集团,贵州茅台",格力电器(18)|兴业银行(18)|海螺水泥(18)|美的集团(16)|贵州茅台(14)
2014-06-30,15,5,17.6,25.7,7.2,"海螺水泥,格力电器,海尔智家,洋河股份,万科A",海螺水泥(20)|格力电器(18)|海尔智家(18)|洋河股份(16)|万科A(16)
2014-09-30,16,5,16.8,28.2,7.2,"美的集团,海尔智家,格力电器,海康威视,招商银行",美的集团(18)|海尔智家(18)|格力电器(16)|海康威视(16)|招商银行(16)
2014-12-31,13,5,15.6,25.1,6.2,"格力电器,美的集团,海尔智家,洋河股份,招商银行",格力电器(18)|美的集团(16)|海尔智家(16)|洋河股份(14)|招商银行(14)
2015-03-31,14,5,16.0,23.7,6.8,"海尔智家,美的集团,中国平安,贵州茅台,洋河股份",海尔智家(20)|美的集团(16)|中国平安(16)|贵州茅台(14)|洋河股份(14)
2015-06-30,14,5,14.4,25.5,6.0,"美的集团,海尔智家,贵州茅台,海康威视,立讯精密",美的集团(18)|海尔智家(18)|贵州茅台(12)|海康威视(12)|立讯精密(12)
2015-09-30,14,5,15.6,26.5,7.2,"洋河股份,格力电器,五粮液,美的集团,海康威视",洋河股份(18)|格力电器(18)|五粮液(14)|美的集团(14)|海康威视(14)
2015-12-31,16,5,17.6,44.1,7.0,"美的集团,格力电器,宁德时代,立讯精密,洋河股份",美的集团(18)|格力电器(18)|宁德时代(18)|立讯精密(18)|洋河股份(16)
2016-03-31,17,5,16.4,40.5,7.0,"贵州茅台,宁德时代,海尔智家,立讯精密,泸州老窖",贵州茅台(18)|宁德时代(18)|海尔智家(16)|立讯精密(16)|泸州老窖(14)
2016-06-30,14,5,16.8,41.8,6.8,"洋河股份,宁德时代,隆基绿能,泸州老窖,格力电器",洋河股份(20)|宁德时代(18)|隆基绿能(18)|泸州老窖(14)|格力电器(14)
2016-09-30,17,5,17.6,40.6,7.8,"泸州老窖,洋河股份,美的集团,宁德时代,五粮液",泸州老窖(18)|洋河股份(18)|美的集团(18)|宁德时代(18)|五粮液(16)
2016-12-31,16,5,16.0,20.4,7.4,"泸州老窖,格力电器,海尔智家,万科A,五粮液",泸州老窖(18)|格力电器(16)|海尔智家(16)|万科A(16)|五粮液(14)
2017-03-31,15,5,16.4,21.3,7.4,"贵州茅台,泸州老窖,山西汾酒,海尔智家,格力电器",贵州茅台(18)|泸州老窖(18)|山西汾酒(16)|海尔智家(16)|格力电器(14)
2017-06-30,16,5,16.8,20.2,7.6,"海尔智家,五粮液,美的集团,海螺水泥,贵州茅台",海尔智家(20)|五粮液(18)|美的集团(16)|海螺水泥(16)|贵州茅台(14)
2017-09-30,16,5,18.4,29.5,8.2,"贵州茅台,美的集团,海尔智家,海康威视,格力电器",贵州茅台(20)|美的集团(20)|海尔智家(18)|海康威视(18)|格力电器(16)
2017-12-31,14,5,17.6,26.2,7.6,"美的集团,格力电器,海尔智家,海螺水泥,贵州茅台",美的集团(18)|格力电器(18)|海尔智家(18)|海螺水泥(18)|贵州茅台(16)
2018-03-31,16,5,18.8,23.4,8.2,"洋河股份,美的集团,贵州茅台,泸州老窖,山西汾酒",洋河股份(20)|美的集团(20)|贵州茅台(18)|泸州老窖(18)|山西汾酒(18)
